date,iso_week,close,volume,close_point_relative_normalization,volume_point_relative_normalization
2016-04-28,2016-17,449.01,74064700,-0.0208260642,0.08601814705
2016-04-29,2016-17,455.1,49258500,-0.007545359386,-0.2777176591
2016-04-30,2016-17,448.32,69322600,-0.0223307746,0.0164842577
2016-05-01,2016-18,451.88,40660100,0,0
2016-05-02,2016-18,444.67,92127000,-0.01595556342,1.265783901
2016-05-03,2016-18,450.3,59366400,-0.003496503497,0.4600652728
2016-05-04,2016-18,446.72,50407300,-0.01141896079,0.2397239554
2016-05-05,2016-18,447.98,50440800,-0.008630609896,0.240547859
2016-05-06,2016-18,459.6,72796800,0.01708418164,0.7903743473
2016-05-07,2016-18,458.54,38364500,0.01473842613,-0.05645829695
2016-05-08,2016-19,458.55,40315000,0,0
2016-05-09,2016-19,460.48,55493100,0.00420891942,0.3764876597
2016-05-10,2016-19,450.89,58956100,-0.01670483044,0.4623862086
2016-05-11,2016-19,452.73,50605200,-0.01269218188,0.255244946
2016-05-12,2016-19,454.77,59849300,-0.008243375859,0.4845417338
2016-05-13,2016-19,455.67,60845000,-0.006280667321,0.5092397371
2016-05-14,2016-19,455.67,37209000,-0.006280667321,-0.07704328414
2016-05-15,2016-20,457.57,28514000,0,0
2016-05-16,2016-20,454.16,59171500,-0.007452411653,1.075173599
2016-05-17,2016-20,453.78,64100300,-0.008282885679,1.248029038
2016-05-18,2016-20,454.62,86850100,-0.00644710099,2.04587571
2016-05-19,2016-20,438.71,96027400,-0.04121773718,2.367728134
2016-05-20,2016-20,442.68,81987900,-0.03254146906,1.875355965
2016-05-21,2016-20,443.19,42762300,-0.0314268855,0.4996948867
2016-05-22,2016-21,439.32,39657600,0,0
2016-05-23,2016-21,444.15,50582500,0.01099426386,0.2754806141
2016-05-24,2016-21,445.98,65783100,0.01515979241,0.6587766279
2016-05-25,2016-21,449.6,65231000,0.02339979969,0.6448549584
2016-05-26,2016-21,453.38,65203800,0.03200400619,0.6441690874
2016-05-27,2016-21,473.46,164781000,0.07771100792,3.155092593
2016-05-28,2016-21,530.04,181199000,0.206500956,3.569086379
2016-05-29,2016-22,526.23,148737000,0,0
2016-05-30,2016-22,533.86,87958700,0.0144993634,-0.4086293256
2016-05-31,2016-22,531.39,138450000,0.009805598313,-0.06916234696
2016-06-01,2016-22,536.92,86061800,0.02031431123,-0.4213827091
